,name,asset_ownership_name,latitude,longitude,asset_type,country
1366,Jebel Ali M Power and Desalination Station,Dubai Electricity and Water Authority PJSC,25.046427,55.105557,oil_and_gas_plant,United Arab Emirates
1367,Huizhou Cogen power station,China Shenhua Energy Co Ltd Huizhou Thermal Power Branch,22.75307,114.62675,oil_and_gas_plant,
1368,Tiger I power station,Excelerate Energy LP,40.4733187598778,19.4453763677946,oil_and_gas_plant,
1369,Surkhandarya power station,Nebras Power QPSC,37.3767864107491,67.2520938378001,oil_and_gas_plant,Uzbekistan
1370,Koudiet Eddraouch power plant,Shariket Karhaba Koudiet Eddraouch SpA,36.885,8.0778,oil_and_gas_plant,Algeria
1371,Kabeli B1 hydroelectric plant,IME Bank,27.2801,87.8097,hydro_power_low,Nepal
1372,Rehab power plant,Central Electricity Generating Company (CEGCO),32.3311,36.0506,oil_and_gas_plant,Jordan
1373,Jafurah Cogeneration power plant,Saudi Arabian Oil Co,24.507914,45.885537,oil_and_gas_plant,Saudi Arabia
1374,Santa Cruz Rolugi power station,Rolugi Geração de Energia Eletrica Ltda,-21.723886,-41.397026,oil_and_gas_plant,Brazil
1375,Robins power station,Georgia Power Co,32.5792,-83.5822,oil_and_gas_plant,United States
1376,SPIC Lisha Island Gas power station,Dongguan Zhongdian Jiufeng New Energy Thermal Power Co Ltd,22.956527,113.575401,oil_and_gas_plant,China
1377,Karpowership (Lebanon) Orhan Bey power station,Karpowership,33.649812,35.402103,oil_and_gas_plant,
1378,Xiamen Dongbu Gas power station,East Asia Power (Xiamen) Co Ltd,24.54591,118.226434,oil_and_gas_plant,China
1379,Astara power station,AzerEnerji JSC,38.4669800656052,48.864585389342,oil_and_gas_plant,Azerbaijan
1380,Ribatejo power station,Energias de Portugal SA,39.0118,-8.9521,oil_and_gas_plant,Portugal
1381,Latakia power station,Public Establishment of Electricity Generation,35.532672,35.799198,oil_and_gas_plant,Syrian Arab Republic
1382,Lincoln Combustion power station,Duke Energy Carolinas LLC,35.4317,-81.0347,oil_and_gas_plant,United States
1383,Jebel Ali G Power and Desalination Station,Dubai Electricity and Water Authority PJSC,25.0553,55.1151,oil_and_gas_plant,United Arab Emirates
1384,Lee & Man Paper power station,Guangdong Lee & Man Paper Manufacturing Ltd,22.938,113.5898,oil_and_gas_plant,China
1385,Hudson power station,Hudson Power Station Ltd,11.8870840383738,8.73224250788874,oil_and_gas_plant,Nigeria
1386,Rades II power station,Marubeni Corp,36.799,10.2865,oil_and_gas_plant,Tunisia
1387,Lavrio power station,Public Power Corporation SA,37.7463,24.0666,oil_and_gas_plant,Greece
1388,Energy Legacy power station,Energy Legacy International Technologies of Mexico S de RL de CV,31.320967,-109.554938,oil_and_gas_plant,Mexico
1389,Antonio Guiteras Thermoelectric Power Plant (CTE),Unión Eléctrica de Cuba,23.102632,-81.529444,oil_and_gas_plant,Cuba
1390,Limbé power station,Ministry of Water and Energy (Cameroon),4.008072,9.123855,oil_and_gas_plant,Cameroon
1391,Anambra power station,Anambra Gas Fired IPP Co Ltd,6.12984133123863,6.8011584231591,oil_and_gas_plant,Nigeria
1392,Shedgum cogeneration Gas power plant,Tihama Power Generation Co Ltd,25.6515606,49.3854875,oil_and_gas_plant,Saudi Arabia
1393,Colorado Bend II power station,Exelon Power Corp,29.289415,-96.0654,oil_and_gas_plant,United States
1394,Hawk Road Facility power station,Oglethorpe Power Corp,33.358472,-84.99139,oil_and_gas_plant,United States
1395,Pinecrest energy center,Coronado Power Ventures LLC,31.360942,-94.69452,oil_and_gas_plant,United States
1396,Possum Point power station,Virginia Electric and Power Co,38.5367,-77.2806,oil_and_gas_plant,
1397,Las Palmas power station,Inkia Energy,14.262131,-90.799063,oil_and_gas_plant,Guatemala
1398,Cape Lambert power station,Rio Tinto Australia Pty Ltd,-20.6488,117.1407,oil_and_gas_plant,Australia
1399,Khan Khawar hydroelectric plant,China Three Gorges CORP (CTG),34.9028,72.8075,hydro_power_low,Pakistan
1400,El-Atf power plant,Middle Delta Electricity Production Co,31.1851,30.5291,oil_and_gas_plant,Egypt
1401,Victoria power station,Rockland Capital,28.7883,-97.01,oil_and_gas_plant,United States
1402,Palua Indah power station,Worldwide Holdings Bhd,2.9402188,101.2621084,oil_and_gas_plant,
1403,Bukhara Teploenergo 3 power station,Teploenergo,39.743978,64.411911,oil_and_gas_plant,Uzbekistan
1404,Allen Fossil Plant,Tennessee Valley Authority,35.074087,-90.14868,oil_and_gas_plant,United States
1405,CR Huoshan Distributed Gas power station,China Resources Power (Huoshan) Co Ltd,31.402446,116.36308,oil_and_gas_plant,China
1406,Sriracha Thai Oil Company power station,TOP SPP Co Ltd,13.1673169,100.9071881,oil_and_gas_plant,
1407,Besmaya power station,Mass Energy Group Holding,33.166744,44.662947,oil_and_gas_plant,Iraq
1408,Madison power station,Duke Energy Indiana LLC,39.4522,-84.4647,oil_and_gas_plant,United States
1409,Ilijan power station,South Premiere Power Corp,13.622,121.0795,oil_and_gas_plant,Philippines
1410,Sakai Port power station,Kansai Electric Power Co,34.570279,135.441867,oil_and_gas_plant,Japan
1411,Gibson City energy center,Earthrise Energy PBC,40.4705,-88.3987,oil_and_gas_plant,United States
1412,Keramasan Asta power station,PT Asta Keramasan Energi,-3.0302613,104.7419807,oil_and_gas_plant,Indonesia
1413,Aras Free power station,Mani International Group (MIG),38.930239,45.6326299,oil_and_gas_plant,"Iran, Islamic Republic of"
